seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
13,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0421010721919304,0.804272700906558,13.035552845085181,2.39962511715089,0.0037323386308774032,77.5343137254901,0.005746727253038042,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9499333835466452,0.8165835019681678,14.045607814594504,2.3977817319554346,0.004427120606329105,67.04310344827593,0.006662703938136172,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0481395931177118,0.7652087539224047,12.982844247260285,2.399020807833537,0.004239549372194857,65.8203125,0.006711865470656164,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9336368814037876,0.7797898896633808,13.339587660526163,2.398414271555996,0.004086107636379665,78.22631578947357,0.006856730057945182,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.077768665766988,0.79813537402414,13.201063623721973,2.3980815347721824,0.005086547628573935,66.41441441441435,0.008238542144268113,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9782082037064254,0.8296004978498267,13.762967843458323,2.398547172130961,0.004217056632692983,65.7698412698412,0.007371515056938449,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9943591684269669,0.8068091784716059,13.898910323776107,2.398884239888424,0.004956347863286002,61.30689655172414,0.00819631659507225,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.089257715488244,0.7963102309401667,12.288983246045063,2.2690763052208833,0.31501357326063684,68.91746031746035,0.017298559198271946,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9939639864110034,0.7994561904599268,12.120119574538409,2.381530984204131,0.07129316512572348,76.22047244094495,0.01553842693872598,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9357394637673797,0.801995251753469,12.135128043799236,2.4671628182064613,0.5746907773948059,114.1682692307695,0.06332086912474066,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
