seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
10,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.03746042373153,0.8395603092974302,8.744039324098525,5.780730897009966,3.9140655390869297,76.29339622641506,4.756626361196751,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9783936059270983,0.850375032348551,8.855592754907502,5.896656534954407,3.4633574332855144,79.11566484517309,5.369049749895698,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.011530095318979,0.850829073353241,8.691922413238153,5.1793582095371775,3.4442225434169416,71.29791666666667,4.758863744553496,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9854103638408892,0.838039612248697,9.12120232796594,4.258340523439747,3.1126776294178136,70.84500998003986,4.546919850376776,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9996539135029123,0.8267476850403466,9.050034528172597,4.9350210970464135,3.2382066872812927,74.73895238095236,2.661450655933571,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9654005028695718,0.8621393987194249,8.868543701717543,5.895316804407713,3.359250547394816,80.5606015779092,4.035991841724464,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9597710639972067,0.8458119965726091,8.576029380348638,6.313131313131313,3.803602134527466,85.34986496090974,4.233347325885508,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0252900653203625,0.8404444864237877,8.736491061260867,4.2621624984446935,3.1855817279931773,68.17271880819372,6.2064301488718465,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9716718771426739,0.8586170860638066,8.906546001491991,5.527419984387198,3.2297794012801013,67.72367216117223,5.450396994741508,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0127914976814778,0.8547893387697295,8.934854255514571,4.670050761421319,2.9031631637664095,66.4519390581717,4.655329307349588,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.0313820211299847,0.8164002819350122,8.724110049306676,4.4730077120822616,3.4286586224687965,60.57816711590301,7.280321012292733,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9391118700109858,0.8413238587730034,8.696439487410327,5.6335070389671,3.301665510328992,73.33378870673965,5.1989294582163055,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.0284040378803176,0.8360238864534093,8.680366329066175,6.423827314238273,3.571634952949908,78.8824999999999,4.080139274260507,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.00226429184477,0.8431555653377473,9.233080029054625,3.892578449277768,3.0372803077540036,70.32563444539491,5.920767828662565,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.0302502405776068,0.8445784300868427,8.609792161280843,4.842927631578947,3.0459318400613973,67.82161904761908,3.870982918355529,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9468793234385657,0.8639150152491845,8.732585501297219,5.781641604010025,3.5946443948332565,79.816617357002,3.255777396347293,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9478640023164795,0.8437420296920777,8.852316050030366,5.0122850122850116,2.991903916562988,77.86885572139292,3.9326856216179795,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9693450444449494,0.8275195233689823,9.114266079385263,3.806861385695755,2.8200335187659746,64.45251396648044,5.648656175089336,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.0208536741524696,0.863902940742377,8.972761850730416,5.817132994186046,3.5429701863562673,74.48021978021977,5.180469090533491,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9699888577144862,0.8476705448658389,9.019287388455298,4.766839378238342,2.9592461094266307,66.38540430022424,6.171363636363637,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0313820211299847,0.8164002819350122,8.724110049306676,4.4730077120822616,3.4286586224687965,60.57816711590301,7.280321012292733,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9391118700109858,0.8413238587730034,8.696439487410327,5.6335070389671,3.301665510328992,73.33378870673965,5.1989294582163055,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0284040378803176,0.8360238864534093,8.680366329066175,6.423827314238273,3.571634952949908,78.8824999999999,4.080139274260507,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.00226429184477,0.8431555653377473,9.233080029054625,3.892578449277768,3.0372803077540036,70.32563444539491,5.920767828662565,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0302502405776068,0.8445784300868427,8.609792161280843,4.842927631578947,3.0459318400613973,67.82161904761908,3.870982918355529,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9468793234385657,0.8639150152491845,8.732585501297219,5.781641604010025,3.5946443948332565,79.816617357002,3.255777396347293,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9478640023164795,0.8437420296920777,8.852316050030366,5.0122850122850116,2.991903916562988,77.86885572139292,3.9326856216179795,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9693450444449494,0.8275195233689823,9.114266079385263,3.806861385695755,2.8200335187659746,64.45251396648044,5.648656175089336,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
