seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
10,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0796755327144845,0.7952964836449935,12.200391939854333,3.660262891809909,0.7177211496272253,123.54810996563559,0.014283585693807499,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9558136240054065,0.7805926444919262,11.88429660165978,3.5103926096997684,0.4737093154138758,113.91880341880317,0.02885435110499035,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0336544077378778,0.8364220817710096,10.75311906588307,3.7040501680352005,0.6972012815647489,161.33163265306092,0.034146499278265185,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.014311029251957,0.825899868682845,11.197303040389677,3.7108694468641117,0.3835803125063852,147.84044715447152,0.018838031265223876,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9447267728826098,0.8101846959550362,13.32045656525395,3.6726546906187627,0.06221510931648215,122.71495327102832,0.010593481526893989,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0420237281943703,0.7738162267601547,12.373574463204214,3.6999486125385403,0.18341317527004009,130.5394736842105,0.021861373017355135,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.8151243459753222,0.7090060655781781,12.462000903290573,3.678861788617886,0.6139730071505451,145.1807228915664,1.3616312085389586,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9240357109522724,0.7854028888391364,13.851498639506648,4.121951219512195,0.4221661402046871,142.21359223300965,0.013274460643019736,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.1084894894150183,0.8153428992175433,12.4213938994451,3.6969349058901297,0.07823066137616472,128.6450292397665,0.01678952694054825,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9325801458382161,0.7793217373367708,13.682429189458556,3.3914053426248545,0.3112062133323905,113.55645161290319,0.011844482521615962,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
